name,gender,birthyear,namegender,usage,pctyb,rich,pctrank,richnum,french,english,biblical,unisex
Dominic,m,1993,['Masculine'],['English'],0.0012264312641683500,Common,0.21800,0,0,1,0,0
Mark,m,1993,['Masculine'],"['English', 'Russian', 'Belarusian', 'Dutch', 'Danish', 'Armenian', 'Biblical']",0.0039015330148711400,Common,0.40600,0,0,1,1,0
Mario,m,1980,['Masculine'],"['Italian', 'Spanish', 'German', 'Croatian']",0.0015840753802131200,Common,0.24800,0,0,0,0,0
Derek,m,1980,['Masculine'],['English'],0.0039065594949931000,Common,0.40700,0,0,1,0,0
Adam,m,1980,['Masculine'],"['English', 'French', 'German', 'Polish', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Czech', 'Slovak', 'Russian', 'Ukrainian', 'Croatian', 'Serbian', 'Macedonian', 'Romanian', 'Catalan', 'Greek', 'Hebrew', 'Arabic', 'Georgian', 'Biblical', 'Biblical Latin', 'Biblical Greek', 'Biblical Hebrew']",0.0101706370958222000,Common,0.57600,0,1,1,1,0
Jonathan,m,1980,['Masculine'],"['English', 'French', 'German', 'Swedish', 'Norwegian', 'Danish', 'Dutch', 'Biblical']",0.0102396271089788000,Common,0.57700,0,1,1,1,0
Jeffrey,m,1980,['Masculine'],['English'],0.0088307216840462200,Common,0.55200,0,0,1,0,0
Thomas,m,1980,['Masculine'],"['English', 'French', 'German', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Greek', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0094688793057448700,Common,0.56500,0,1,1,1,0
Thomas,m,1980,['Masculine'],"['English', 'French', 'German', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Greek', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0094688793057448700,Common,0.56500,0,1,1,1,0
Ruben,m,1980,['Masculine'],"['Dutch', 'Swedish', 'Norwegian', 'Danish', 'German', 'French', 'Italian', 'Armenian', 'Biblical Latin']",0.0008014699184678180,Common,0.17800,0,1,0,1,0
Jorge,m,1980,['Masculine'],"['Spanish', 'Portuguese']",0.0010774299710942600,Common,0.20400,0,0,0,0,0
Christopher,m,1980,['Masculine'],['English'],0.0264646768437715000,Common,0.79400,0,0,1,0,0
Jason,m,1973,['Masculine'],"['English', 'French', 'Greek Mythology (Anglicized)', 'Biblical']",0.0289248390328278000,Common,0.81300,0,1,1,1,0
Ryan,m,1973,['Masculine'],['English'],0.0065111709018188500,Common,0.50000,0,0,1,0,0
Dustin,m,1973,['Masculine'],['English'],0.0010011467342853700,Common,0.19600,0,0,1,0,0
Andrew,m,1973,['Masculine'],"['English', 'Biblical']",0.0066480851519903000,Common,0.50200,0,0,1,1,0
Clarence,m,1973,['Masculine'],['English'],0.0006814736433873200,Common,0.16500,0,0,1,0,0
Randy,m,1973,"['Feminine', 'Masculine']",['English'],0.0020735384403794100,Common,0.28700,0,0,1,0,1
Rodney,m,1973,['Masculine'],['English'],0.0025152572655932000,Common,0.32100,0,0,1,0,0
Preston,m,1973,['Masculine'],['English'],0.0002998484030904210,Common,0.11100,0,0,1,0,0
Tyson,m,1973,['Masculine'],['English'],0.0002725894573549280,Common,0.10500,0,0,1,0,0
Christopher,m,1973,['Masculine'],['English'],0.0299371371540049000,Common,0.81700,0,0,1,0,0
Tharon,m,1973,[],[],0.0000080537794218502,Common,0.01400,0,0,0,0,0
Dana,m,1973,"['Feminine', 'Masculine']","['Romanian', 'Czech', 'Slovak', 'German', 'Hebrew', 'English', 'Bulgarian', 'Macedonian', 'Persian', 'Arabic']",0.0006275752734103230,Common,0.16000,0,0,1,0,1
Thomas,m,1973,['Masculine'],"['English', 'French', 'German', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Greek', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0111092594302013000,Common,0.59300,0,1,1,1,0
